##############################
# #  # # #   #   ###     # # #
S   #  #  # ## ## #  # #     #
## ## #  ##         # # # ## #
#  #  # #   ## ## #      #  ##
##  # #   #  #   # # # #  #  #
# #     ## ## # #  # ##  ## ##
#  # ##        #  # #  ###  ##
##     ## # # #  #   #    #  E
#  # # ##  #    # ##   # #  ##
# ###    #  # #      #  # #  #
#  #  # # # #  # ###  #   # ##
# # # #    #  #    ###  #    #
#   #  # #  #  ###    # # ## #
## ## #  # #  #   # # #  ##  #
#    # # #  #   # # # # ##  ##
# # #   #  ### #   #  #   ####
##    #  #  #   ##  # ###   ##
#  # # ##  #  #   ##    ## # #
# #      #  # # #   ## #     #
#  # # #  # #  #  # #   # ## #
# #  #  # ##  # #  ### ##  # #
#  ##  ##   #   ### #    ##  #
##   #   # #  #      # #   # #
#  ##  #  # # # # ## #  ##  ##
## #  ## #    #  #  #  #   # #
##  #   #### #  #  # #  ## # #
#  # ## ##   # ## #    #     #
##    #   ## #    # ## # # # #
##############################
